text,start,end,sentiment,confidence,speaker
"With no fees or minimums, banking with Capital one is the easiest decision in the history of decisions, even easier than deciding to listen to another episode of your favorite podcast.",330,10106,POSITIVE,0.938869774341583,
"And with no overdraft fees, is it even a decision that's banking reimagined?",10218,14666,NEUTRAL,0.723502039909362,
What's in your wallet terms?,14778,16302,NEUTRAL,0.871522843837738,
Apply.,16356,16766,NEUTRAL,0.620468974113464,
"See capitalone.com Slash Bank Capital one NA member FDiC hey, everyone, want to talk to you about our friends at Squarespace.",16868,24634,POSITIVE,0.511470437049865,
"If you're running a business and you are using Squarespace, that means you have access to great analytics.",24682,29842,POSITIVE,0.938547492027282,
"You can use insights to grow that business, learn where your site visits and sales are coming from, and analyze which channels are most effective.",29906,36514,NEUTRAL,0.507636904716491,
You can improve your website and build a marketing strategy based on your top keywords or most popular products and content.,36562,42826,POSITIVE,0.86451244354248,
"Just go to squarespace.com stuff for a free trial, and when you're ready to launch, use the offer code stuff stuff to save 10% off your first purchase of a website or domain.",42928,54350,NEUTRAL,0.538757562637329,
"Welcome to stuff you should know, a production of iHeartRadio.",55410,59470,POSITIVE,0.771728575229644,
"Hey, and welcome to the podcast.",65030,66542,POSITIVE,0.754682421684265,
"I'm Josh, and Chuck's on the line.",66606,68274,NEUTRAL,0.864259243011474,
"Jerry's here, too, and we're about to get jiggy with it about Shakespeare.",68312,73650,NEUTRAL,0.735301315784454,
Can I caveat this out of the gate?,74950,77822,NEUTRAL,0.836930155754089,
I guess so.,77966,80434,NEUTRAL,0.697139084339141,
"The more we dug into this, I was an english major.",80472,83830,NEUTRAL,0.8562673330307,
"We talked very briefly when I was in college about Shakespeare's authorship, right.",83900,87878,NEUTRAL,0.701070964336395,
"And I thought, hey, this would be a fun little semi easy episode.",87964,92890,POSITIVE,0.94240778684616,
"And the more we dug into it, the more this onion unfolded.",93870,100518,NEUTRAL,0.67526227235794,
It's quite an onion.,100694,101750,NEUTRAL,0.660723865032196,
"This blooming onion unfolded layer by crispy, delicious layer.",101830,105994,POSITIVE,0.870709061622619,
"For all of our australian listeners, that's what we think you guys eat every night.",106122,110206,NEUTRAL,0.807052075862884,
Every night.,110308,111200,NEUTRAL,0.609123945236206,
"To the point where I was almost like, is this a two parter?",112770,116870,NEUTRAL,0.670092523097991,
You could probably do a ten part episode on this.,117050,119298,POSITIVE,0.585334181785583,
"Oh, yeah.",119384,119970,NEUTRAL,0.55853396654129,
It's so dense.,120040,120974,NEGATIVE,0.843021690845489,
So I just want to caveat this.,121022,122578,NEUTRAL,0.679089188575744,
"For people that know a lot about Shakespeare authorship and saying, this is a pretty broad overview of the high points of his authorship being questioned, because it is dense, baby.",122664,135106,NEUTRAL,0.568129301071167,
It's the kind of thing that extremely intelligent people take on as their lifelong hobby.,135218,141942,POSITIVE,0.491189330816268,
It's like that.,142006,143146,NEUTRAL,0.570530533790588,
"We're like, we'll just bust it out in a few days.",143328,145274,NEUTRAL,0.68507045507431,
It'll be fine.,145312,146010,POSITIVE,0.626036524772644,
Yeah.,146080,146266,NEUTRAL,0.549144744873046,
"You know, like, how some people are, like, they research World War II submarine warfare and know everything about.",146288,153582,NEUTRAL,0.612671256065368,
"It's along the same lines, but it's even bigger.",153636,156266,POSITIVE,0.74401181936264,
"There's so many people involved, and each side is like, you're so naive to the other.",156298,161742,NEGATIVE,0.655737340450286,
"And yes, it's true, we could turn this into a ten part series, but I think we've got a handle on it enough to present it.",161876,168314,POSITIVE,0.581858038902282,
I'm feeling okay about it.,168372,169778,POSITIVE,0.916823208332061,
"And then the other thing that sticks out for me, Chuck, is this is one of the few things I've ever come across like this that I am truly agnostic about.",169864,177934,NEUTRAL,0.707500219345092,
I do not have an opinion one way or the other.,177992,180760,NEUTRAL,0.630208730697631,
"I don't know if I do either, actually.",182170,184120,NEUTRAL,0.555839359760284,
It's not like I don't care.,184650,186022,NEUTRAL,0.692343235015869,
That's not what I'm saying.,186076,186998,NEUTRAL,0.557905554771423,
I genuinely can see both sides.,187084,189330,NEUTRAL,0.499074041843414,
"And the other thing about it is, the more you dig into it, the more you realize, oh, neither side actually has really good evidence to support their claim.",189410,198330,NEGATIVE,0.70459234714508,
They have to get so granular that it really quickly goes into the world of conspiracy theories.,198830,205274,NEUTRAL,0.6070356965065,
Pretty quickly.,205402,206270,POSITIVE,0.563768804073333,
Yeah.,206420,206974,NEUTRAL,0.549144744873046,
"I saw this video of a guy, this wonderful gentleman who knows a lot about it, that said, like, and here's the golden bullet, which proves once and for all, and he made his case.",207092,218186,POSITIVE,0.762094676494598,
"And I was like, no, that didn't really prove it once and for all, in my opinion.",218228,221854,NEUTRAL,0.504113495349884,
"Yeah, for sure.",221982,222930,NEUTRAL,0.561470746994018,
Because both sides do things like they get into biographical readings where they're trying to find clues within the text or parallels to his life or that kind of thing.,223000,232294,NEUTRAL,0.828309953212738,
"And once that starts, it's like, okay, you've just completely left the world of objectivity.",232332,239254,NEGATIVE,0.488366097211837,
Yeah.,239382,240106,NEUTRAL,0.549144744873046,
